Event Name,Date,Month,Venue,Venue2,Level of Licence,WA,Entry Details,Licence Number,Longitude,Latitude
Kingston AC & Polytechnic Harriers Hammer/Weight Invitation,15-Jan,Jan,Weir Archer Athletics Track (Kingsmeadow),Kingston,1,,,OUT 23/009,-0.2836903,51.4052927
Swindon Harriers Winter Throws Series,21-Jan,Jan,County Ground - Swindon,Swindon,1,,,OUT 22/690,-1.77101507,51.56446595
Oxford University v Cambridge UniversityVarsity Field Events Relays,11-Feb,Feb,Lee Valley Athletics Centre - Outdoor,Lee Valley,1,,,OUT 23/063,-0.038032,51.629996
Barnsley AC Winter Track,15-Feb,Feb,Dorothy Hyman Sports Centre,Cudworth,1,,https://www.barnsleyac.co.uk/club-events/dorothy-hyman-track-series/,OUT 23/053,-1.411029309,53.57425995
Swindon Harriers Winter Throws Series,18-Feb,Feb,County Ground - Swindon,Swindon,1,,,OUT 22/690,-1.77101507,51.56446595
Basingstoke & Mid Hants AC Winter Throws,18-Feb,Feb,Down Grange Athletic Track,Basingstoke,1,,http://bmhac.co.uk/?doing_wp_cron=1664551191.7364919185638427734375,OUT 22/706,-1.1265625,51.2483125
Isle of Wight AC Winter Series Event 3,18-Feb,Feb,"Ray Scovell Athletics Track, formerley Fairway Athletics Centre (Sandown)",Sandown,1,,,OUT 23/076,-1.1669513,50.6589395
UK Winter Long Throws Championships,19-Feb,Feb,Paula Radcliffe Athletics Stadium,Loughborough,2,WA E,,OUT 23/002,-1.230372,52.769183
Barnsley AC Winter Track,22-Feb,Feb,Dorothy Hyman Sports Centre,Cudworth,1,,https://www.barnsleyac.co.uk/club-events/dorothy-hyman-track-series/,OUT 23/053,-1.411029309,53.57425995
Isle of Wight AC Winter Series Event 3,25-Feb,Feb,"Ray Scovell Athletics Track, formerley Fairway Athletics Centre (Sandown)",Sandown,1,,,OUT 23/076,-1.1669513,50.6589395
University of Portsmouth Athletics Club Cup Championship,4-Mar,Mar,Mountbatten Centre,Portsmouth,1,,https://linktr.ee/uopathletics,OUT 23/012,-1.082616998,50.82464535
BMAF Winter Throws Championships,4-Mar,Mar,Oxford Horspath Athletics Stadium,Horspath,1,,,OUT23/115,-1.1871875,51.7374375
Molly Barnett Open Track Walks including the England Athletics Winter Track Championship,4-Mar,Mar,Coventry Athletic Track - University of Warwick,Coventry,2,,https://meets.rosterathletics.com/public/competitions/details/participants?id=13034 ,OUT 23/121,-1.510477,52.4081812
Track48,10-Mar,Mar,Omagh Athletics Track,Omagh,2,,,OUT 23/110,-7.3029907,54.5992486
Basingstoke & Mid Hants AC Winter Throws,11-Mar,Mar,Down Grange Athletic Track,Basingstoke,1,,http://bmhac.co.uk/?doing_wp_cron=1664551191.7364919185638427734375,OUT 22/706,-1.1265625,51.2483125
Track48,11-Mar,Mar,Omagh Athletics Track,Omagh,2,,,OUT 23/110,-7.3029907,54.5992486
Waverley Early Throws,12-Mar,Mar,Charterhouse School - Godalming,Godalming,1,,,OUT 23/071,-0.6288628353,51.19606035
Track48,12-Mar,Mar,Omagh Athletics Track,Omagh,2,,,OUT 23/110,-7.3029907,54.5992486
SWAA Universities Spring Open Meet,15-Mar,Mar,Exeter Arena,Exeter,1,,https://sw-athletics-academy.co.uk/events/swaa-south-west-universities-spring-open-meeting-2023/,OUT 23/140,-3.491320974,50.73765245
Swindon Harriers Winter Throws Series,18-Mar,Mar,County Ground - Swindon,Swindon,1,,,OUT 22/690,-1.77101507,51.56446595
University of Leicester Running and Athletics Open Meet,18-Mar,Mar,Saffron Lane Stadium,Leicester,1,,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.leicesterunion.com%2Fevents%2F7792%2F4458%2F%3Ffbclid%3DIwAR1eWHMczMXZAQ8bdWEamE6TtTy19dDi6J5BG11tibpkfP4D2aQVmGSuKMs&h=AT0NKMOeUuboEzUkdF2Mj2LOb3MaJOq8HzKCH50wwHo83xw5XFC1zP6bYXs2lvaQdoDAJ3rhMJnqySAIxjfc4CKyFrQg8Zb47rIRfe2kpL8VGNlSMtXBcQPbkQLhy93tJn1ELwi-pJg,OUT 23/069,-1.134269109,52.6137
West Cheshire AC 25th Anniversary Open Meeting,18-Mar,Mar,Ellesmere Port Sports Village,Ellesmere Port,1,,https://wcac.niftyentries.com/Track-Field-Open-Meetings-2023,OUT 23/079,-2.894311448,53.26567295
Cumbria School of Hammer 2301,18-Mar,Mar,Sheepmount Athletics Stadium,Carlisle,1,,,OUT 23/095,-2.947561,54.902903
University of Birmingham Winter Throws & Distance Meet,18-Mar,Mar,University of Birmingham,Birmingham (U),1,,https://data.opentrack.run/en-gb/x/2023/GBR/uobwinterthrows/,OUT 23/116,-1.93012,52.45082
Derby Early Season Track Test,18-Mar,Mar,Moorways Athletics Stadium,Derby,1,,,OUT 23/176,-1.457212,52.891228
Lancaster Cup,18-Mar,Mar,Salt Ayre Sports Centre,Lancaster,1,,,OUT 23/197,-2.822278792,54.0553877
Trafford Medal Meetings,19-Mar,Mar,Longford Park Athletics Stadium,Stretford,1,,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/022,-2.28935,53.44636
Nuneaton Winter Warm Up,19-Mar,Mar,The Pingles Stadium,Nuneaton,1,,https://sites.google.com/thepinglesstadium.com/eapilotevent,OUT 23/187,-1.464162493,52.515688
London Varsity Series ,19-Mar,Mar,Southwark Park,Southwark,1,,https://studentsunionucl.org/whats-on/events-activities/london-varsity-series-2023-athletics,OUT 23/206,-0.05635831365,51.4951658
Mark Cawte Memorial Spring  Open Meeting,22-Mar,Mar,County Ground Track - Swindon,Swindon,1,,,OUT 23/059,-1.77101507,51.56446595
Bracknell AC 43rd Young Athlete Open Meeting,25-Mar,Mar,Bracknell Sports & Leisure Centre Athletics Stadium,Bracknell,1,,,OUT 23/011,-0.7449925,51.4143513
Humber County AA  Open Series 1,25-Mar,Mar,King George V Stadium,Grimsby,1,,,OUT 23/081,-0.0590485,53.555316
Cumbria School of Hammer 2301,25-Mar,Mar,Sheepmount Athletics Stadium,Carlisle,1,,,OUT 23/096,-2.947561,54.902903
Mansfield Harriers Spring Track & Field Open,26-Mar,Mar,Berry Hill Park Athletic Track,Mansfield,1,,,OUT 23/026,-1.1771875,53.1288125
Bournemouth Open,26-Mar,Mar,Kings Park Athletic Track,Bournemouth,1,,https://data.opentrack.run/en-gb/x/2023/GBR/bac-spring-open-23/,OUT 23/057,-1.8339375,50.7334375
West Cheshire AC 25th Anniversary Open Meeting,26-Mar,Mar,Ellesmere Port Sports Village,Ellesmere Port,1,,https://wcac.niftyentries.com/Track-Field-Open-Meetings-2023,OUT 23/079,-2.894311448,53.26567295
Spenborough AC - The Spring Open Meeting,26-Mar,Mar,Princess Mary Athletic Stadium,Cleckheaton,1,,https://www.spenac.co.uk/calendar/event/the-spring-open-2023-556105,OUT 23/168,-1.7140939,53.7264346
Peterborough & Nene Valley Distance Sunday ,26-Mar,Mar,Embankment Athletics Track,Peterborough,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13234,OUT 23/184,-0.233043,52.570904
LUCA Pre-BUCS Open Meeting ,26-Mar,Mar,Millenium Arena Battersea Park,Battersea Park,1,,https://data.opentrack.run/en-gb/x/2023/GBR/luca-open/,OUT 23/228,-0.146969,51.47698
Crawley AC Open Early Open ,26-Mar,Mar,K2 Athletics Stadium,Crawley,1,,https://crawleyac.net/index.php/enter-opens-online/enter-online-sunday-26th-march,OUT 23/231,-0.1918738,51.0973656
Avon/SGS Junior Open Meeting,27-Mar,Mar,Kip Keino Athletics Stadium,Stoke Gifford,1,,,OUT 23/119,-2.5569375,51.5126875
Burton AC Club Championships,27-Mar,Mar,Shobnall Athletics Track,Burton,1,,https://form.jotform.com/211173927289059,OUT 23/156,-0.56667,53.26667
Corby AC Open Meeting,28-Mar,Mar,Rockingham Triangle Sports Stadium (Corby),Corby,1,,https://entry4sports.co.uk/#/show-entry/408,OUT 23/123,-0.71468749,52.5070625
Northern Universities Cup,29-Mar,Mar,Longford Park Athletics Stadium,Stretford,1,,,OUT 23/020,-2.28935,53.44636
Isle of Man League,29-Mar,Mar,National Sports Centre (IOM),Douglas,1,,,OUT 23/224,-4.504653,54.152616
Burton AC Club Championships,30-Mar,Mar,Shobnall Athletics Track,Burton,1,,https://form.jotformeu.com/211175896880366,OUT 23/156,-0.56667,53.26667
South London Athletics Network Early Season Open,1-Apr,Apr,David Weir Leisure Centre (formerly Sutton Arena),Carshalton,1,,https://data.opentrack.run/en-gb/x/2023/GBR/slanapr1/ ,OUT 23/018,-0.1814375,51.3841875
Basingstoke & Mid Hants Open,1-Apr,Apr,Down Grange Athletic Track,Basingstoke,1,,https://data.opentrack.run/en-gb/x/2023/GBR/bmhacyoungathletesopen23/,OUT 23/039,-1.1265625,51.2483125
Bury AC Spring Throws Event,1-Apr,Apr,Market Street Athletics Track,Bury,1,,https://www.race-results.co.uk/results/2023/,OUT 23/067,-2.323851,53.591353
Waverley Early Throws,1-Apr,Apr,Charterhouse School - Godalming,Godalming,1,,,OUT 23/071,-0.6288628353,51.19606035
Stevenage & North Herts Athletic Club Track Open (Beds & Herts Athletes Only),1-Apr,Apr,Ridlins Wood Athletics Track,Stevenage,1,,https://www.snhac.org.uk/membership.php ,OUT 23/082,-0.2027155,51.9016663
Harrow Spring Throws & Jumps,1-Apr,Apr,Bannister Sports Centre,Harrow,1,,https://www.harrowac.co.uk/,OUT 23/142,-0.3521277401,51.61165605
Surrey CAA Disability County Championships/Open Disability & Throws Meeting,1-Apr,Apr,Weir Archer Athletics Track (Kingsmeadow),Kingston,2,,https://www.jctsportssolutions.com/event-booking/,OUT 23/163,-0.2836903,51.4052927
Lee Valley April Open,1-Apr,Apr,Lee Valley Athletics Centre - Outdoor,Lee Valley,1,,,OUT 23/233,-0.038032,51.629996
Nuneaton Season Opener,1-Apr,Apr,The Pingles Stadium,Nuneaton,2,WA F,https://sites.google.com/thepinglesstadium.com/eapilotevent,OUT 23/241,-1.464162493,52.515688
